"0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27"
"""segment""","""exchange""","""shortCode""","""symbol""","""token""","""scripId""","""strikePrice""","""expiry""","""lotSize""","""tickSize""","""instrumentType""","""optionType""","""isTBApproved""","""marginPercentage""","""volumeFreezeQty""","""quantityMultiplier""","""numerator""","""denominator""","""isMTFApproved""","""mtfMargin""","""nseAsmgsm""","""bseAsmgsm""","""nseSurvIndCode""","""isBKTAllowed""","""scripName""",,,
"""EQ""","""NSE""","""NCM""","""ARSSINFRA""","18206","40854","""""","""""","""""","""1.00000""","""0""","""""","true","""20.00""","""""","""""","""""","""""","false","""100.00""","""20""","""100""","""IBC - Receipt (20)""","false","""ARSS INFRA PROJ. LTD""",,,
"""EQ""","""NSE""","""NCM""","""ARTEMISMED""","16913","40866","""""","""""","""""","""5.00000""","""0""","""""","true","""20.00""","""""","""""","""""","""""","false","""100.00""","""0""","""100""","""""","false","""ARTEMIS MED SERVICE LTD""",,,
"""EQ""","""NSE""","""NCM""","""ARTNIRMAN""","6156","40871","""""","""""","""""","""1.00000""","""0""","""""","true","""20.00""","""""","""""","""""","""""","false","""100.00""","""0""","""0""","""ESM - 1""","false","""ART NIRMAN LIMITED""",,,
"""EQ""","""NSE""","""NCM""","""ARVEE""","2820","40881","""""","""""","""""","""1.00000""","""0""","""""","true","""20.00""","""""","""""","""""","""""","false","""100.00""","""34""","""0""","""ESM - 1""","false","""ARVEE LABORATORIES I LTD""",,,
"""EQ""","""NSE""","""NCM""","""ARVIND""","193","40890","""""","""""","""""","""5.00000""","""0""","""""","true","""20.00""","""""","""""","""""","""""","false","""100.00""","""0""","""100""","""Long Term ASM - 1""","false","""ARVIND LIMITED""",,,
"""EQ""","""NSE""","""NCM""","""ARVINDFASN""","9111","40898","""""","""""","""""","""5.00000""","""0""","""""","true","""33.77""","""""","""""","""""","""""","false","""100.00""","""0""","""100""","""""","false","""ARVIND FASHIONS LIMITED""",,,
"""EQ""","""NSE""","""NCM""","""ARVSMART""","10457","40912","""""","""""","""""","""5.00000""","""0""","""""","true","""37.10""","""""","""""","""""","""""","false","""100.00""","""0""","""100""","""""","false","""ARVIND SMARTSPACES LTD""",,,
"""EQ""","""NSE""","""NCM""","""ASAHIINDIA""","5378","40921","""""","""""","""""","""5.00000""","""0""","""""","true","""31.69""","""""","""""","""""","""""","false","""100.00""","""0""","""100""","""""","false","""ASAHI INDIA GLASS LIMITED""",,,
"""EQ""","""NSE""","""NCM""","""ASAHISONG""","25088","40929","""""","""""","""""","""5.00000""","""0""","""""","true","""20.00""","""""","""""","""""","""""","false","""100.00""","""0""","""100""","""Long Term ASM - 1""","false","""ASAHI SONGWON COLOR LTD""",,,
"""EQ""","""NSE""","""NCM""","""ASAL""","10634","40936","""""","""""","""""","""5.00000""","""0""","""""","true","""20.00""","""""","""""","""""","""""","false","""100.00""","""0""","""100""","""Short Term ASM - 1""","false","""AUTOMOTIVE STAMPINGS & AS""",,,
"""EQ""","""NSE""","""NCM""","""ASALCBR""","17598","40942","""""","""""","""""","""5.00000""","""0""","""""","true","""31.67""","""""","""""","""""","""""","false","""100.00""","""0""","""100""","""""","false","""ASSO ALCOHOLS & BREW LTD""",,,
"""EQ""","""NSE""","""NCM""","""ASHAPURMIN""","203","40953","""""","""""","""""","""5.00000""","""0""","""""","true","""20.00""","""""","""""","""""","""""","false","""100.00""","""13""","""100""","""Long Term ASM - 4""","false","""ASHAPURA MINECHEM LTD""",,,
"""EQ""","""NSE""","""NCM""","""ASHIANA""","24403","40960","""""","""""","""""","""5.00000""","""0""","""""","true","""33.89""","""""","""""","""""","""""","false","""100.00""","""0""","""100""","""""","false","""ASHIANA HOUSING LTD""",,,
"""EQ""","""NSE""","""NCM""","""ASHIMASYN""","206","40967","""""","""""","""""","""1.00000""","""0""","""""","true","""20.00""","""""","""""","""""","""""","false","""100.00""","""0""","""100""","""Long Term ASM - 1""","false","""ASHIMA LTD""",,,
"""EQ""","""NSE""","""NCM""","""ASHOKA""","20182","40974","""""","""""","""""","""1.00000""","""0""","""""","true","""36.00""","""""","""""","""""","""""","false","""100.00""","""0""","""100""","""""","false","""ASHOKA BUILDCON LTD""",,,
"""EQ""","""NSE""","""NCM""","""ASHOKLEY""","212","40983","""""","""""","""""","""1.00000""","""0""","""""","true","""25.00""","""""","""""","""""","""""","false","""100.00""","""0""","""100""","""""","true","""ASHOK LEYLAND LTD""",,,
"""EQ""","""NSE""","""NCM""","""ASIANHOTNR""","18425","41003","""""","""""","""""","""1.00000""","""0""","""""","true","""20.00""","""""","""""","""""","""""","false","""100.00""","""0""","""100""","""ESM - 1","Loss making","The Overall encumbered share in the scrip is more than 50 Percent""","false","""ASIAN HOTELS (NORTH) LTD""",
"""EQ""","""NSE""","""NCM""","""ASIANPAINT""","236","41011","""""","""""","""""","""5.00000""","""0""","""""","true","""25.00""","""""","""""","""""","""""","false","""100.00""","""0""","""100""","""""","true","""ASIAN PAINTS LIMITED""",,,
"""EQ""","""NSE""","""NCM""","""ASIANTILES""","14889","41018","""""","""""","""""","""1.00000""","""0""","""""","true","""35.55""","""""","""""","""""","""""","false","""100.00""","""0""","""100""","""STASM - I (11)""","false","""ASIAN GRANITO IND. LTD.""",,,
"""EQ""","""NSE""","""NCM""","""ASPINWALL""","17270","41045","""""","""""","""""","""5.00000""","""0""","""""","true","""20.00""","""""","""""","""""","""""","false","""100.00""","""0""","""0""","""Short Term ASM - 1""","false","""ASPINWALL & CO LTD""",,,
"""EQ""","""NSE""","""NCM""","""ASTEC""","17728","41063","""""","""""","""""","""5.00000""","""0""","""""","true","""32.69""","""""","""""","""""","""""","false","""100.00""","""0""","""100""","""""","false","""ASTEC LIFESCIENCES LTD""",,,
"""EQ""","""NSE""","""NCM""","""ASTERDM""","1508","41071","""""","""""","""""","""5.00000""","""0""","""""","true","""20.00""","""""","""""","""""","""""","false","""100.00""","""0""","""100""","""High promoter Encumbrance (25)""","false","""ASTER DM HEALTHCARE LTD.""",,,
"""EQ""","""NSE""","""NCM""","""ASTRAL""","14418","41078","""""","""""","""""","""5.00000""","""0""","""""","true","""25.00""","""""","""""","""""","""""","false","""100.00""","""0""","""100""","""""","true","""ASTRAL POLY TECH LTD""",,,
"""EQ""","""NSE""","""NCM""","""ASTRAMICRO""","11618","41085","""""","""""","""""","""5.00000""","""0""","""""","true","""33.91""","""""","""""","""""","""""","false","""100.00""","""0""","""100""","""""","false","""ASTRA MICROWAVE LTD""",,,
"""EQ""","""NSE""","""NCM""","""ASTRAZEN""","5610","41092","""""","""""","""""","""5.00000""","""0""","""""","true","""32.38""","""""","""""","""""","""""","false","""100.00""","""0""","""100""","""Short Term ASM - 1""","false","""ASTRAZENECA PHARMA IND LT""",,,
"""EQ""","""NSE""","""NCM""","""ASTRON""","880","41100","""""","""""","""""","""1.00000""","""0""","""""","true","""20.00""","""""","""""","""""","""""","false","""100.00""","""34""","""100""","""Long Term ASM - 1""","false","""ASTRON PAPER BORD MIL LTD""",,,
"""EQ""","""NSE""","""NCM""","""ATFL""","1663","41117","""""","""""","""""","""5.00000""","""0""","""""","true","""34.42""","""""","""""","""""","""""","false","""100.00""","""0""","""100""","""""","false","""AGRO TECH FOODS LIMITED""",,,
"""EQ""","""NSE""","""NCM""","""ATLANTA""","13582","41124","""""","""""","""""","""5.00000""","""0""","""""","true","""20.00""","""""","""""","""""","""""","false","""100.00""","""36""","""100""","""ESM I & GSM 0 (36)""","false","""ATLANTA LIMITED""",,,
"""EQ""","""NSE""","""NCM""","""ATUL""","263","41151","""""","""""","""""","""5.00000""","""0""","""""","true","""25.00""","""""","""""","""""","""""","false","""100.00""","""0""","""100""","""""","true","""ATUL LTD""",,,
"""EQ""","""NSE""","""NCM""","""ATULAUTO""","30023","41158","""""","""""","""""","""5.00000""","""0""","""""","true","""37.22""","""""","""""","""""","""""","false","""100.00""","""0""","""100""","""LTASM - I (13)""","false","""ATUL AUTO LIMITED""",,,
"""EQ""","""NSE""","""NCM""","""AUBANK""","21238","41171","""""","""""","""""","""5.00000""","""0""","""""","true","""25.00""","""""","""""","""""","""""","false","""100.00""","""0""","""100""","""""","true","""AU SMALL FINANCE BANK LTD""",,,
"""EQ""","""NSE""","""NCM""","""AURDIS""","18762","41179","""""","""""","""""","""5.00000""","""0""","""""","true","""20.00""","""""","""""","""""","""""","false","""100.00""","""0""","""0""","""""","false","""AURANGABAD DISTILLERY LTD""",,,
"""EQ""","""NSE""","""NCM""","""AURIONPRO""","12022","41187","""""","""""","""""","""5.00000""","""0""","""""","true","""20.00""","""""","""""","""""","""""","false","""100.00""","""13""","""100""","""Long Term ASM - 4""","false","""AURIONPRO SOLN LTD""",,,
"""EQ""","""NSE""","""NCM""","""AUROPHARMA""","275","41195","""""","""""","""""","""5.00000""","""0""","""""","true","""25.00""","""""","""""","""""","""""","false","""100.00""","""0""","""100""","""""","true","""AUROBINDO PHARMA LTD""",,,
"""EQ""","""NSE""","""NCM""","""AUSOMENT""","9035","41202","""""","""""","""""","""1.00000""","""0""","""""","true","""20.00""","""""","""""","""""","""""","false","""100.00""","""34""","""100""","""Long Term ASM - 1""","false","""AUSOM ENTERPRISE LIMITED""",,,
"""EQ""","""NSE""","""NCM""","""AUTOAXLES""","278","41220","""""","""""","""""","""5.00000""","""0""","""""","true","""30.42""","""""","""""","""""","""""","false","""100.00""","""0""","""100""","""""","false","""AUTOMOTIVE AXLES LIMITED""",,,
"""EQ""","""NSE""","""NCM""","""AUTOIND""","14106","41226","""""","""""","""""","""1.00000""","""0""","""""","true","""20.00""","""""","""""","""""","""""","false","""100.00""","""0""","""100""","""ESM - I (34)""","false","""AUTOLINE INDUSTRIES LTD""",,,
"""EQ""","""NSE""","""NCM""","""AVADHSUGAR""","21406","41254","""""","""""","""""","""5.00000""","""0""","""""","true","""35.23""","""""","""""","""""","""""","false","""100.00""","""0""","""100""","""""","false","""AVADH SUG & ENERGY LTD""",,,
"""EQ""","""NSE""","""NCM""","""AVANTIFEED""","7936","41261","""""","""""","""""","""5.00000""","""0""","""""","true","""30.69""","""""","""""","""""","""""","false","""100.00""","""0""","""100""","""""","false","""AVANTI FEEDS LIMITED""",,,
"""EQ""","""NSE""","""NCM""","""AVG""","15589","41272","""""","""""","""""","""5.00000""","""0""","""""","true","""20.00""","""""","""""","""""","""""","false","""100.00""","""0""","""0""","""Short Term ASM - 1""","false","""AVG LOGISTICS LIMITED""",,,
"""EQ""","""NSE""","""NCM""","""AVTNPL""","14008","41295","""""","""""","""""","""1.00000""","""0""","""""","true","""33.04""","""""","""""","""""","""""","false","""100.00""","""0""","""100""","""""","false","""AVT NATURAL PRODUCTS LTD""",,,
"""EQ""","""NSE""","""NCM""","""AXISBANK""","5900","41303","""""","""""","""""","""5.00000""","""0""","""""","true","""25.00""","""""","""""","""""","""""","false","""100.00""","""0""","""100""","""""","true","""AXIS BANK LIMITED""",,,
"""EQ""","""NSE""","""NCM""","""AXISCADES""","9436","41310","""""","""""","""""","""5.00000""","""0""","""""","true","""38.03""","""""","""""","""""","""""","false","""100.00""","""0""","""100""","""LTASM - IV (16)""","false","""AXISCADES ENGG TECH LTD""",,,
"""EQ""","""NSE""","""NCM""","""AXISGOLD""","20532","41318","""""","""""","""""","""1.00000""","""4""","""""","true","""26.50""","""""","""""","""""","""""","false","""100.00""","""0""","""100""","""""","false","""AXIS MF - AXIS GOLD ETF""",,,
"""EQ""","""NSE""","""NCM""","""AYMSYNTEX""","10285","41331","""""","""""","""""","""1.00000""","""0""","""""","true","""20.00""","""""","""""","""""","""""","false","""100.00""","""0""","""100""","""Long Term ASM - 1""","false","""AYM SYNTEX LIMITED""",,,
"""EQ""","""NSE""","""NCM""","""BAGFILMS""","14075","41350","""""","""""","""""","""1.00000""","""0""","""""","true","""20.00""","""""","""""","""""","""""","false","""100.00""","""34""","""100""","""ESM - 1""","false","""B.A.G FILMS AND MEDIA LTD""",,,
"""EQ""","""NSE""","""NCM""","""BAJAJ-AUTO""","16669","41364","""""","""""","""""","""5.00000""","""0""","""""","true","""25.00""","""""","""""","""""","""""","false","""100.00""","""0""","""100""","""""","true","""BAJAJ AUTO LIMITED""",,,
"""EQ""","""NSE""","""NCM""","""BAJAJCON""","19531","41371","""""","""""","""""","""5.00000""","""0""","""""","true","""29.59""","""""","""""","""""","""""","false","""100.00""","""0""","""100""","""""","false","""BAJAJ CONSUMER CARE LTD""",,,
"""EQ""","""NSE""","""NCM""","""BAJAJELEC""","15034","41378","""""","""""","""""","""5.00000""","""0""","""""","true","""26.50""","""""","""""","""""","""""","false","""100.00""","""0""","""100""","""""","false","""BAJAJ ELECT.LTD""",,,
"""EQ""","""NSE""","""NCM""","""BAJAJFINSV""","16675","41386","""""","""""","""""","""5.00000""","""0""","""""","true","""20.00""","""""","""""","""""","""""","false","""100.00""","""0""","""100""","""""","true","""BAJAJ FINSERV LTD.""",,,
"""EQ""","""NSE""","""NCM""","""BAJAJHIND""","308","41393","""""","""""","""""","""1.00000""","""0""","""""","true","""20.00""","""""","""""","""""","""""","false","""100.00""","""0""","""100""","""Long Term ASM - 1""","false","""BAJAJ HINDUSTHAN SUGAR LT""",,,
"""EQ""","""NSE""","""NCM""","""BAJAJHLDNG""","305","41400","""""","""""","""""","""5.00000""","""0""","""""","true","""28.60""","""""","""""","""""","""""","false","""100.00""","""0""","""100""","""""","false","""BAJAJ HOLDINGS & INVS LTD""",,,
"""EQ""","""NSE""","""NCM""","""BAJFINANCE""","317","41412","""""","""""","""""","""5.00000""","""0""","""""","true","""25.00""","""""","""""","""""","""""","false","""100.00""","""0""","""100""","""""","true","""BAJAJ FINANCE LIMITED""",,,
"""EQ""","""NSE""","""NCM""","""BALAJITELE""","9158","41433","""""","""""","""""","""1.00000""","""0""","""""","true","""20.00""","""""","""""","""""","""""","false","""100.00""","""0""","""100""","""Long Term ASM - 1""","false","""BALAJI TELEFILMS LIMITED.""",,,
"""EQ""","""NSE""","""NCM""","""BALAMINES""","14501","41440","""""","""""","""""","""5.00000""","""0""","""""","true","""32.39""","""""","""""","""""","""""","false","""100.00""","""0""","""100""","""""","false","""BALAJI AMINES LIMITED""",,,
"""EQ""","""NSE""","""NCM""","""BALAXI""","11309","41447","""""","""""","""""","""5.00000""","""0""","""""","true","""20.00""","""""","""""","""""","""""","false","""100.00""","""0""","""0""","""Short Term ASM - 1""","false","""BALAXI VENTURES LIMITED""",,,
"""EQ""","""NSE""","""NCM""","""BALKRISHNA""","10181","41455","""""","""""","""""","""1.00000""","""0""","""""","true","""20.00""","""""","""""","""""","""""","false","""100.00""","""0""","""100""","""ESM - 1""","false","""BALKRISHNA PAPER MILLS L""",,,
"""EQ""","""NSE""","""NCM""","""BALKRISIND""","335","41463","""""","""""","""""","""5.00000""","""0""","""""","true","""25.00""","""""","""""","""""","""""","false","""100.00""","""0""","""100""","""""","true","""BALKRISHNA IND. LTD""",,,
"""EQ""","""NSE""","""NCM""","""BALMLAWRIE""","338","41477","""""","""""","""""","""5.00000""","""0""","""""","true","""34.90""","""""","""""","""""","""""","false","""100.00""","""0""","""100""","""""","false","""BALMER LAWRIE and CO LTD""",,,
"""EQ""","""NSE""","""NCM""","""BALPHARMA""","13441","41484","""""","""""","""""","""1.00000""","""0""","""""","true","""20.00""","""""","""""","""""","""""","false","""100.00""","""0""","""100""","""Long Term ASM - 1""","false","""BAL PHARMA LTD.""",,,
"""EQ""","""NSE""","""NCM""","""BALRAMCHIN""","341","41492","""""","""""","""""","""5.00000""","""0""","""""","true","""25.00""","""""","""""","""""","""""","false","""100.00""","""0""","""100""","""""","true","""BALRAMPUR CHINI MILLS LTD""",,,
"""EQ""","""NSE""","""NCM""","""BANARBEADS""","347","41504","""""","""""","""""","""1.00000""","""0""","""""","true","""20.00""","""""","""""","""""","""""","false","""100.00""","""0""","""100""","""""","false","""BANARAS BEADS LTD""",,,
"""EQ""","""NSE""","""NCM""","""BANARISUG""","350","41511","""""","""""","""""","""5.00000""","""0""","""""","true","""28.42""","""""","""""","""""","""""","false","""100.00""","""0""","""100""","""""","false","""BANNARI AMMAN SUGARS LTD""",,,
"""EQ""","""NSE""","""NCM""","""BANCOINDIA""","13880","41518","""""","""""","""""","""5.00000""","""0""","""""","true","""20.00""","""""","""""","""""","""""","false","""100.00""","""0""","""100""","""Long Term ASM - 1""","false","""BANCO PRODUCTS (I) LTD""",,,
"""EQ""","""NSE""","""NCM""","""BANDHANBNK""","2263","41529","""""","""""","""""","""1.00000""","""0""","""""","true","""25.00""","""""","""""","""""","""""","false","""100.00""","""0""","""100""","""""","true","""BANDHAN BANK LIMITED""",,,
"""EQ""","""NSE""","""NCM""","""BANG""","15303","41536","""""","""""","""""","""1.00000""","""0""","""""","true","""20.00""","""""","""""","""""","""""","false","""100.00""","""0""","""100""","""""","false","""BANG OVERSEAS LTD.""",,,
"""EQ""","""NSE""","""NCM""","""BANKA""","828","41540","""""","""""","""""","""1.00000""","""0""","""""","true","""20.00""","""""","""""","""""","""""","false","""100.00""","""34""","""0""","""""","false","""BANKA BIOLOO LIMITED""",,,
"""EQ""","""NSE""","""NCM""","""BANKBARODA""","4668","41551","""""","""""","""""","""5.00000""","""0""","""""","true","""25.00""","""""","""""","""""","""""","false","""100.00""","""0""","""100""","""""","true","""BANK OF BARODA""",,,
"""EQ""","""NSE""","""NCM""","""BANKBEES""","11439","41556","""""","""""","""""","""1.00000""","""4""","""""","true","""26.50""","""""","""""","""""","""""","false","""100.00""","""0""","""100""","""""","false","""NIPPONINDIA ETF BANK BEES""",,,
"""EQ""","""NSE""","""NCM""","""BANKINDIA""","4745","41563","""""","""""","""""","""1.00000""","""0""","""""","true","""34.54""","""""","""""","""""","""""","false","""100.00""","""0""","""100""","""""","false","""BANK OF INDIA""",,,
